address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
"127, Kadubisannhalli, Panathur Main Road, Marathahalli, Bangalore",Sri Vishnu Veg,Yes,No,3.5,11,marathahalli,Quick Bites,south indian,Delivery,Bellandur,200.0
"1/1, Junnasandra Main Road, Sarjapur Road, Bangalore",Shudh,Yes,No,4.1,87,sarjapur road,Delivery,north indian,Delivery,Bellandur,300.0
"25, 17/1, Behind HDFC Bank, Ambalipura Village, Sarjapur Road, Bangalore",Biryani Miya,Yes,No,3.8,44,sarjapur road,Delivery,"biryani, north indian",Delivery,Bellandur,600.0
"13, 1st Floor, Above Amba Bajaj, Sarjapur Marthahalli Outer Ring Road, Bellandur, Bangalore",Mani's Dum Biryani,Yes,No,4.0,894,bellandur,Casual Dining,"biryani, kebab",Delivery,Bellandur,750.0
"21, 22, 23, Ground Floor, Central Jail Road, Kasavanahalli Village, Varthur Hobli, Sarjapur Road, Bangalore",Sri Vishnu Grand & Garden Restaurant,Yes,No,3.8,7,sarjapur road,Quick Bites,"south indian, north indian, fast food",Delivery,Bellandur,500.0
"Ganapa Tower, Outer Ring Road, Bellandur, Bangalore",Hyderabadi Bawarchi Biriyani,Yes,No,,0,bellandur,Casual Dining,biryani,Delivery,Bellandur,450.0
"65/1A, Opposite Bata Showroom, Sarjapur Road, Bangalore",Donne Biriyani House,Yes,No,3.2,126,sarjapur road,Quick Bites,biryani,Delivery,Bellandur,300.0
"5, Bellandur Gate, Sarjapur Road, Bangalore",Potful,Yes,No,3.8,832,sarjapur road,Delivery,"biryani, kebab, rolls, mughlai",Delivery,Bellandur,650.0
"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore",Bahar Cafe,Yes,Yes,4.0,903,marathahalli,Casual Dining,"andhra, biryani, chinese, hyderabadi, north indian, south indian",Delivery,Bellandur,750.0
"77 Town Center, Yemalur Road, Marathahalli Village, Marathahalli, Bangalore",Subway,Yes,No,3.7,38,marathahalli,Quick Bites,"salad, fast food",Delivery,Bellandur,600.0
"Ground Floor, Total Mall, Sarjapur Road, Bangalore",KFC,Yes,No,3.2,380,sarjapur road,Quick Bites,"burger, fast food",Delivery,Bellandur,450.0
"Near Madurai Idly, SGR Dental College Road, CKB Layout, Chandra Layout, Marathahalli, Bengalore",DinePost9,Yes,No,3.8,798,marathahalli,Delivery,"north indian, south indian, chinese, continental",Delivery,Bellandur,450.0
"Next To Bangalore Central Bellandur, Bellandur, Bangalore",Thalassery Restaurant,Yes,No,3.4,692,bellandur,Casual Dining,"seafood, biryani, south indian, north indian, chinese, arabian, kebab, kerala",Delivery,Bellandur,600.0
"No 528, BVR complex, Ambalipura Village, Sarjapur Road, Bangalore",Sri Vishnu Grand,Yes,No,3.8,135,sarjapur road,Casual Dining,"south indian, north indian, chinese",Delivery,Bellandur,400.0
"65/3/1, Thalanki Complex, Kaikondrahalli Village, Sarjapur Road, Bangalore",Paradise,Yes,No,,0,sarjapur road,Delivery,"biryani, north indian",Delivery,Bellandur,600.0
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Bathinda Dine,Yes,No,4.0,230,bellandur,Casual Dining,north indian,Delivery,Bellandur,950.0
"Ground Floor, More Megastore, Service Road, Marathahalli, Bangalore",WOW! Momo,Yes,No,3.5,79,marathahalli,Quick Bites,"chinese, momos",Delivery,Bellandur,400.0
"Kasavanahalli Main Road, Sarjapur Road, Bangalore",Behrouz Biryani,Yes,No,4.0,357,sarjapur road,Delivery,biryani,Delivery,Bellandur,650.0
"Green Glen Layout, Bellandur, Bangalore",Sri Krishna Kitchen,Yes,No,3.6,22,bellandur,Quick Bites,"north indian, chinese",Delivery,Bellandur,350.0
"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",Maa Bhook Lagi,Yes,No,4.1,152,hsr,Delivery,north indian,Delivery,Bellandur,400.0
"18 17/1, 2nd Floor, Ambalipura Sarjapur Main Road, Bellandur Gate, Bellandur, Bangalore",Cake Town Cafe,Yes,No,3.9,75,bellandur,"Bakery, Dessert Parlor","bakery, desserts",Delivery,Bellandur,500.0
"Opposite Eco Space, Outer Ring Road, Bellandur, Bangalore",Kairali Restaurant,Yes,No,3.9,94,bellandur,Quick Bites,kerala,Delivery,Bellandur,200.0
"Near MK Retail, Kaikondahalli Main Road, Sarjapur Road, Bangalore",Basaveshwara Khanavali,Yes,No,3.6,11,sarjapur road,Quick Bites,south indian,Delivery,Bellandur,150.0
"225, 2nd Cross, Opposite BBMP Office, Bellandur, Bangalore",Punjabi Food Point,Yes,No,3.3,200,bellandur,Quick Bites,"north indian, mughlai, biryani, chinese",Delivery,Bellandur,450.0
"2733, 16th Cross, 27th Main, Opposite NIFT, Sector 1, HSR Layout, Bangalore, HSR, Bangalore",Punjabi Tadka,Yes,No,2.8,188,hsr,Casual Dining,"north indian, chinese",Delivery,Bellandur,400.0
Delivery Only,Costa Biryanis,Yes,No,3.3,10,east bangalore,Delivery,"andhra, biryani, north indian, south indian",Delivery,Bellandur,300.0
"88, Outer Ring Road, Next To More Mega Store, Marathahalli, Bangalore",Sri Udupi Park,Yes,No,3.1,226,marathahalli,Casual Dining,"south indian, north indian, chinese, beverages",Delivery,Bellandur,500.0
"203/205, Mint Plaza, Green Glen Layout, Opposite Quartz, Off Outer Ring Road, Bellandur, Bangalore",Pizza Hut,Yes,No,2.8,105,bellandur,Quick Bites,"pizza, fast food",Delivery,Bellandur,600.0
"Above Star Supermarket, VGR Essor, Sarjapur Road, Bangalore",The Punjabi Rasoi,Yes,Yes,3.7,194,sarjapur road,Casual Dining,north indian,Delivery,Bellandur,800.0
"543, 7th Cross, 24th Main, Opposite Nous Info Systems, Sector 1, HSR, Bangalore",Punjab Di Shaan,Yes,No,3.0,38,hsr,Casual Dining,north indian,Delivery,Bellandur,450.0
"5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, Bangalore",Punjabi Nukkad Pure Veg,Yes,No,3.5,378,bellandur,Quick Bites,"north indian, chinese, juices",Delivery,Bellandur,500.0
"29/1, Linga Reddy Complex, Sarjapura Main Road, Sarjapur Road, Bangalore",Atithi Sambrama,Yes,No,3.9,69,sarjapur road,Quick Bites,"south indian, north indian, chinese",Delivery,Bellandur,200.0
"13th Cross, 24th Main, Opposite Assetz Apartment, 1st Sector, HSR, Bangalore",Navya's,Yes,No,2.9,45,hsr,Casual Dining,"north indian, andhra",Delivery,Bellandur,600.0
"Parijatha Avenue, Bellandur, Bangalore",Lassi Shop,Yes,No,3.9,152,bellandur,Beverage Shop,"beverages, ice cream, fast food",Delivery,Bellandur,300.0
"7th Cross Road, Agara Village, 1st Sector, HSR, Bangalore",Mandya Gowdru Donne Biriyani,Yes,No,3.8,281,hsr,Quick Bites,"biryani, south indian",Delivery,Bellandur,350.0
"33/1, 2nd Main, Outer Ring Road, Bellandur, Bangalore",Marwari Basa,Yes,No,3.1,26,bellandur,Quick Bites,"rajasthani, north indian",Delivery,Bellandur,300.0
"680-669, 13th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka",Indori Zaika,Yes,No,2.8,105,hsr,Quick Bites,north indian,Delivery,Bellandur,300.0
"25, 17/1, Behind HDFC Bank, Ambalipura Village, Sarjapur Road, Bangalore",Mealer.in,Yes,No,3.9,432,sarjapur road,Delivery,"north indian, biryani",Delivery,Bellandur,450.0
"40, 4th Cross Road, Vinayak Nagar, Konena Agrahara, Murgesh Pallya, Old Airport Road, Bangalore",Kya Khaoge,Yes,No,3.7,63,old airport road,Delivery,"north indian, chinese",Delivery,Bellandur,300.0
"77/1, CJR Arcade, Bellandur, Bangalore",Homelicious Food,Yes,No,,0,bellandur,Quick Bites,north indian,Delivery,Bellandur,200.0
"88, 1st Floor, VIMS Hospital Building, Outer Ring Road, Marathahalli, Bangalore",Rayalaseema Chefs,Yes,Yes,3.9,225,marathahalli,Casual Dining,"north indian, biryani, andhra, chinese",Delivery,Bellandur,800.0
"55/8 opp to sakra world hospital devarabisnahalli, Bellandur, Bangalore",Ambur Dum Biriyani,Yes,No,3.4,12,bellandur,Quick Bites,biryani,Delivery,Bellandur,200.0
"29, 1st Floor, 4th Cross, Kasavanahalli, Off Sarjapur Main Road, Sarjapur Road, Bangalore",The Nosh House,Yes,No,4.3,220,sarjapur road,Delivery,"american, italian, bakery, desserts, sandwich, beverages, salad, rolls",Delivery,Bellandur,600.0
"Ikon Building, Next to Sony Centre, Outer Ring Road, Marathahalli",Frozen Bottle,Yes,No,4.0,82,marathahalli,Beverage Shop,"beverages, desserts",Delivery,Bellandur,400.0
"3, Srinivasa Nilayam, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, Bangalore",Warm Oven,Yes,No,3.8,65,marathahalli,Bakery,"bakery, desserts",Delivery,Bellandur,500.0
"5, 1st Floor, Kasavanhalli, Sarjapur Road, Bangalore",Firangi Bake,Yes,No,4.1,88,sarjapur road,Delivery,"mexican, italian",Delivery,Bellandur,600.0
"69, Kaikondrahalli, Sarjapur Road, Bangalore",Savoury Restaurant,Yes,No,2.9,827,sarjapur road,Casual Dining,"arabian, north indian, chinese, kerala, seafood, biryani",Delivery,Bellandur,800.0
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Delhite Food,Yes,No,3.5,6,bellandur,Quick Bites,north indian,Delivery,Bellandur,300.0
"Ground Floor, Octave Hotel, Opposite Prestige Tech Park, Outer Ring Road, Kadubeesanahalli, Bellandur, Bangalore",Faasos,Yes,No,4.1,193,bellandur,Quick Bites,"north indian, biryani, fast food",Delivery,Bellandur,500.0
"1, Survey Number 44, Ambalipura, Balaji Layout, Sarjapur Road, Bangalore",The Flying Cup,Yes,No,4.2,233,sarjapur road,Quick Bites,"beverages, fast food, tea",Delivery,Bellandur,150.0
"35, Outer Ring Road",The Rasaganga,Yes,No,3.7,404,bellandur,Casual Dining,"south indian, north indian, chinese, street food",Delivery,Bellandur,500.0
"55/2, Devarabisanahalli Ring Road, Off Sakra World Hospital, Bellandur, Bangalore",Udupi Nalapaka,Yes,No,3.7,37,bellandur,Quick Bites,"south indian, north indian, chinese",Delivery,Bellandur,400.0
"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Sarjapur Social,Yes,No,4.6,1193,sarjapur road,"Bar, Casual Dining","american, north indian, chinese, finger food",Delivery,Bellandur,1500.0
"2724, 31st Main, 17th Cross, HSR, Bangalore",Just Shawarma,Yes,No,3.9,78,hsr,Quick Bites,arabian,Delivery,Bellandur,300.0
"First Floor, Raja Ikon, Opposite Hotel Radisson Blu, Near Marathahali Bridge, Marathahalli, Bangalore",Konaseema Kitchen,Yes,Yes,3.8,571,marathahalli,Casual Dining,"north indian, biryani, andhra, south indian",Delivery,Bellandur,600.0
"1543, 7th Cross, 19th Main, 1st Sector, HSR, Bangalore",PSV's Andhra Paradise,Yes,No,3.5,116,hsr,Casual Dining,"andhra, chinese, north indian, hyderabadi",Delivery,Bellandur,600.0
"253, Green Glen Layout, Bellandur, Bangalore",Maia - Eat | Bake | Mom,Yes,Yes,4.3,996,bellandur,Casual Dining,"continental, north indian, beverages",Delivery,Bellandur,1200.0
"33/2, Outer Ring Road, Next to Maruti Showroom, Bellandur, Bangalore",Punjab Zone,Yes,No,2.9,120,bellandur,Quick Bites,north indian,Delivery,Bellandur,400.0
"33/1-33/2, Outer Ring Road, Next to Maruti Showroom, Bellandur, Bangalore",Yummy Punjabi,Yes,No,2.9,93,bellandur,Quick Bites,"north indian, chinese",Delivery,Bellandur,400.0
"164, Green Glen Layout, Opposite Little Elly, Bellandur, Bangalore",Happy Endings,Yes,No,4.3,490,bellandur,"Bakery, Dessert Parlor","bakery, desserts, italian",Delivery,Bellandur,500.0
"163, Shreyas Arcade, Opposite Apollo Pharmacy, Green Glen Layout, Bellandur, Bangalore",Meghana Biryani,Yes,No,2.3,235,bellandur,Casual Dining,north indian,Delivery,Bellandur,800.0
"95/2, Green Glen Layout, Sobha Lakeview Clubhouse, Bellandur, Bangalore",Andhra Bhojanam,Yes,No,3.6,48,bellandur,Delivery,andhra,Delivery,Bellandur,400.0
"Srinivasa Nilayam, Site 3, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Kadubeesanahalli, Bellandur, Bangalore",Cupcake Bliss,Yes,No,3.3,8,bellandur,Bakery,bakery,Delivery,Bellandur,250.0
"Shop 217, 2nd main road, Kadubeesanahalli Croma, Back Side road Near Kumbeshwara Temple Marathahalli, Bangalore",Spicy Khana Point,Yes,No,3.0,68,marathahalli,Quick Bites,"north indian, chinese, biryani",Delivery,Bellandur,500.0
"88, 3rd Floor, KBR Mall, Above More Mega Store, Outer Ring Road, Marathahalli, Bangalore",Hyderabad Chefs,Yes,No,4.0,717,marathahalli,Casual Dining,"hyderabadi, andhra, north indian, chinese, south indian",Delivery,Bellandur,800.0
"Behind MK Retail, Sarjapur Road, Bangalore",Byg Brewski Brewing Company,Yes,Yes,4.9,16345,sarjapur road,Microbrewery,"continental, north indian, italian, south indian, finger food",Delivery,Bellandur,1600.0
"1214, 17th Cross Road, Parangi Palaya, Sector 2, HSR Layout, Bangalore",Nutty Affair,Yes,No,3.7,25,hsr,Quick Bites,desserts,Delivery,Bellandur,350.0
"65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore",Waffle Talesz,Yes,No,3.6,18,sarjapur road,Dessert Parlor,desserts,Delivery,Bellandur,200.0
"71/1A, 1st Floor, Kaikondrahalli, Sarjapur Main Road, Bengaluru, Karnataka",Suryawanshi,Yes,Yes,4.5,125,sarjapur road,Casual Dining,"maharashtrian, seafood",Delivery,Bellandur,700.0
"13, The Bay, RMZ EcoWorld, Bellandur, Bangalore",Chili's American Grill & Bar,Yes,Yes,4.5,1365,bellandur,"Casual Dining, Bar","american, tex-mex, burger, bbq",Delivery,Bellandur,1800.0
"29/2, Kariyammana Agrahara, Near Sakra World Hospital, Bellandur, Bangalore, Bengaluru",Hyderabadi Zaiqa,Yes,No,3.1,41,bellandur,Casual Dining,"hyderabadi, north indian, biryani",Delivery,Bellandur,700.0
"A1/65, 2nd Floor, Above Family Pharma, Kaikondrahalli, Sarjapur Road, Bangalore",Indiana Burgers,Yes,No,3.5,28,sarjapur road,Delivery,burger,Delivery,Bellandur,300.0
"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Abhiruchi Restaurant,Yes,No,3.4,5,sarjapur road,Casual Dining,"andhra, north indian, chinese",Delivery,Bellandur,400.0
"Near Madurai Idly, SGR Dental College Road, CKB Layout, Chandra Layout, Marathahalli, Bengalore",9 Bowls,Yes,No,,0,marathahalli,Quick Bites,"healthy food, continental, north indian, chinese",Delivery,Bellandur,500.0
"Mantri Commercio, Kariyammana Agrahara, Bellandur, Bangalore",Pasta Twist Plus,Yes,No,2.6,20,bellandur,Casual Dining,"fast food, continental",Delivery,Bellandur,400.0
"Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore",Delite Chaat House,Yes,No,3.5,178,hsr,Quick Bites,"street food, gujarati",Delivery,Bellandur,300.0
"97/1, Green Glyen Layout, Behind Salarpuria Soft Zone, Outer Ring Rd, Bellandur, Bangalore",Hyderabadi Biriyani,Yes,No,3.4,33,bellandur,Casual Dining,"biryani, hyderabadi, chinese, north indian",Delivery,Bellandur,800.0
"809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, Bangalore",Sri Krishna Sagar,Yes,No,3.5,234,hsr,Quick Bites,"south indian, north indian, chinese, street food, juices",Delivery,Bellandur,400.0
"6, 2nd Floor, Opposite BRS Global School, Kasavanahalli Main Road, Sarjapur Road, Bangalore",Momo Rice Noodles,Yes,No,3.4,68,sarjapur road,Quick Bites,"chinese, momos",Delivery,Bellandur,600.0
"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Bombay Sandwich Company,Yes,No,3.5,32,sarjapur road,Delivery,"sandwich, beverages",Delivery,Bellandur,400.0
"Ground Floor, Opposite Central Mall, Bellandur, Bangalore",Frosty Fills,Yes,No,,0,bellandur,Quick Bites,"desserts, ice cream",Delivery,Bellandur,250.0
"1, Sy No, 6/2, Opposite Foodworld Supermarket, Bata Showroom Backside, 12th Cross, Kasavanahalli Main Road, Bellandur, Bangalore",Hungry Bird,Yes,No,3.6,15,bellandur,Quick Bites,"north indian, chinese, biryani",Delivery,Bellandur,400.0
"Shop 5, New Building, 15 A, First Floor, Kasavanahalli Main Road, Sarjapur Road, Bangalore",The Good Bowl,Yes,No,3.6,10,sarjapur road,"Takeaway, Delivery","italian, north indian, biryani",Delivery,Bellandur,500.0
"Building 2686, 31 Main, 13 Cross, Sector 1, Behind CPWD Quarters, HSR Layout, HSR, Bangalore",Veg Rasoi,Yes,No,3.9,92,hsr,Delivery,"north indian, rajasthani",Delivery,Bellandur,600.0
"603, Second Floor, KPC Layout, Amrutha College Road, Kasavanahalli, Sarjapur Road, Bangalore",Curry Flavours,Yes,No,3.7,59,sarjapur road,Casual Dining,"tamil, south indian, north indian, chinese",Delivery,Bellandur,200.0
"191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, Bangalore",Petoo,Yes,No,4.1,103,hsr,Quick Bites,"north indian, fast food, street food",Delivery,Bellandur,800.0
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Xung Fu,Yes,No,,0,bellandur,Quick Bites,"asian, chinese",Delivery,Bellandur,350.0
"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",Dhaba Estd 1986 Delhi,Yes,Yes,4.4,1209,marathahalli,"Casual Dining, Bar",north indian,Delivery,Bellandur,1100.0
"20/5, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Inhouse Burger,Yes,No,4.0,167,marathahalli,Quick Bites,fast food,Delivery,Bellandur,400.0
"2nd Floor, Sai Durga Enclave, 833/1, Outer Ring Road, Bellandur, Bangalore",Manchow,Yes,Yes,3.8,157,bellandur,Casual Dining,"chinese, asian, momos",Delivery,Bellandur,600.0
"17/1, Chandra Mansion, Opposite Spring Field Apartments, Sarjapur Road, Bangalore",Andhra Vilaas,Yes,No,3.7,52,sarjapur road,Quick Bites,"andhra, north indian, biryani",Delivery,Bellandur,350.0
"2633, 27th Main, 13th Cross, 1st Sector, Liss Arcade, HSR, Bangalore",Bangaliana,Yes,No,3.7,309,hsr,Casual Dining,bengali,Delivery,Bellandur,600.0
"15, Amrita Engineering College Road, Kasavanahalli, Sarjapur Road, Bangalore",La Casa Brewery And Kitchen,Yes,Yes,4.4,1381,sarjapur road,"Microbrewery, Casual Dining","finger food, continental, seafood",Delivery,Bellandur,1500.0
"1548, 19th Main, Outer Ring Road, Opposite BMTC Bus Depot, HSR, Bangalore",Biriyani Zone,Yes,No,3.9,667,hsr,Casual Dining,"biryani, north indian, chinese, seafood",Delivery,Bellandur,800.0
"2733, 16th Cross, 27th Main Road, Oppsite, NIFT College, 1st Sector, HSR Layout, Bangalore",Soup'ermanz Kitchen,Yes,No,4.1,433,hsr,Cafe,"cafe, continental, burger",Delivery,Bellandur,750.0
"2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore",North Indian Kitchen,No,No,3.2,13,hsr,Takeaway,north indian,Delivery,Bellandur,
"1, 328, 27th Main, 21st Cross, Sector 2, HSR, Bangalore",MAP- My Appetite Place,Yes,No,3.8,29,hsr,"Takeaway, Delivery","north indian, italian, chinese",Delivery,Bellandur,600.0
"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Healthie,Yes,No,3.9,70,sarjapur road,Delivery,"healthy food, beverages",Delivery,Bellandur,600.0
"49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, Bangalore",Sri Dalma,Yes,No,3.8,77,hsr,Quick Bites,"oriya, bengali",Delivery,Bellandur,350.0
"Opposite NIFT College, 2733, 16th Cross, 27th Main Road, PWD Quarters, 1st Sector, HSR Layout, HSR, Bangalore",Artinci Artisanal Ice Cream,Yes,No,,0,hsr,Dessert Parlor,"ice cream, desserts",Delivery,Bellandur,300.0
"65/2, Next To Peters School, Beside I-Gate Optics, Sarjapura Main Road, Bangalore",Chai World,Yes,No,3.5,18,sarjapur road,Quick Bites,"tea, beverages, sandwich, fast food",Delivery,Bellandur,300.0
"Shop No 1, 15th Cross, DR BR Ambedkar Circle, Devarabishanahalli, Bellandur, Bangalore",Baker's Home,Yes,No,4.0,175,bellandur,"Bakery, Dessert Parlor","bakery, desserts",Delivery,Bellandur,300.0
"18/1, Opposite Mahagapathi Temple, Near Ramdav Medicals, Bellandur, Bangalore",Paratha Treat,Yes,No,3.6,51,bellandur,Quick Bites,north indian,Delivery,Bellandur,200.0
"18/2A, Sarjapur Road, Bangalore",New Cool Joint,Yes,No,3.5,23,sarjapur road,Quick Bites,"fast food, beverages, ice cream, juices, sandwich",Delivery,Bellandur,150.0
"482/57, Hema Reddy Complex, Bellandur Main Road, Diagonally Opp to Village Super Market, Bangalore",Al Khansah,Yes,No,3.9,370,bellandur,Casual Dining,"biryani, mughlai, chinese, north indian, kebab",Delivery,Bellandur,550.0
"Kadubeesanahalli, Marathahalli Outer Ring Road, Opposite JP Morgan, Varthur Hobli, Marathahalli, Bangalore",Chullah Bhatti,Yes,Yes,4.0,557,marathahalli,Casual Dining,"north indian, chinese",Delivery,Bellandur,900.0
"#2733, 16th Cross, 27th Main, Opppsite NIFT College, Sector 1, HSR, Bangalore",Matka,Yes,Yes,3.6,25,hsr,Casual Dining,"north indian, biryani",Delivery,Bellandur,500.0
"Yemalur, Marathahalli, Bangalore",Feel@Home,Yes,No,3.6,42,marathahalli,"Takeaway, Delivery","north indian, chinese",Delivery,Bellandur,300.0
"10, HDFC Bank Street, Bellandur Gate, Sarjapur Road, Bangalore",Mangala Hotel,Yes,No,3.8,27,sarjapur road,Quick Bites,"kerala, chinese, north indian",Delivery,Bellandur,300.0
"Next to Grigliato, Sector 1 , HSR Layout, HSR, Bangalore",Kabab Magic,Yes,No,3.1,281,hsr,Quick Bites,"north indian, kebab, chinese, fast food",Delivery,Bellandur,400.0
"Ecoworld RMZ 8A Building, Ground Floor, Food Court, Outer Ring Road, Bellandur",Keventers,Yes,No,3.6,18,bellandur,"Beverage Shop, Dessert Parlor","desserts, beverages, ice cream",Delivery,Bellandur,400.0
"74/2, Outer Ring Road, Bellandur Junction, Bellandur, Bangalore",The Kebab House,Yes,No,4.3,49,bellandur,Quick Bites,"kebab, biryani",Delivery,Bellandur,250.0
"17/1, RJR Building, Bellandur Gate, Ambalipura, Sarjapur Road, Bangalore",Daniyal's,Yes,No,3.6,6,sarjapur road,"Takeaway, Delivery","north indian, biryani, mughlai, kebab",Delivery,Bellandur,800.0
"Opposite BBMP Office, Besides Choice Bakery, Yamalur, Bellandur, Bangalore",Poha On Wheels,Yes,No,4.1,65,bellandur,"Takeaway, Delivery",street food,Delivery,Bellandur,100.0
"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore",Float,Yes,Yes,4.4,3061,marathahalli,"Casual Dining, Bar","north indian, japanese",Delivery,Bellandur,1500.0
"78/5, Sri Gowrikshna Arcade, Behind Central Mall, M.H. Colony, Bellandur, Bangalore",Domino's Pizza,Yes,No,3.6,260,bellandur,Quick Bites,"pizza, fast food",Delivery,Bellandur,800.0
"2606, Ground Floor, The Ambience Building, 16th Cross, 27th Main, Sector 1, HSR, Bangalore",Makers of Milkshakes,Yes,No,3.9,39,hsr,Beverage Shop,beverages,Delivery,Bellandur,300.0
"Ground Floor, 42 Green Glen Layout, Sarjapur - Marathalli Ring Road, Bellandur, Bangalore",Shake It Off,Yes,No,4.0,60,bellandur,Beverage Shop,"beverages, fast food",Delivery,Bellandur,600.0
"Opposite Bellandur Police Station, Sarjapur Road, Bangalore",Udupi Savi Thindi,Yes,No,3.6,14,sarjapur road,"Takeaway, Delivery","south indian, north indian, chinese",Delivery,Bellandur,300.0
"56, CSB Layout, Opposite Oceanus Monarda, Centrel Jail Road, Kasvanahalli, Sarjapur Road, Bangalore",Karavali Kitchen,Yes,No,3.1,85,sarjapur road,Casual Dining,mangalorean,Delivery,Bellandur,400.0
"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",InnerChef,Yes,No,3.9,231,sarjapur road,Delivery,"north indian, continental",Delivery,Bellandur,500.0
"505/3, Gurumurthy Reddy Building, Bellandur Main Road, Near Bangalore Bazaar, Bellandur, Bangalore",RP Sweets,Yes,No,3.4,7,bellandur,Quick Bites,"mithai, fast food",Delivery,Bellandur,300.0
"2802, 27th Main Road, Sector 1, HSR, Bangalore",Broadway - The Gourmet Theatre,Yes,Yes,4.2,1142,hsr,Casual Dining,"japanese, north indian, italian, korean, mexican, thai",Delivery,Bellandur,1800.0
"65/1C, Kaikondrahalli, Sarjapur Road, Bangalore",Appetite Workstation,Yes,No,3.6,16,sarjapur road,Quick Bites,"north indian, chinese, biryani",Delivery,Bellandur,500.0
"Sai Durga Enclave, Salarpuria Soft Zone, Beside Shell Petrol Bunk, Maratahalli, Outer Ring Road, Bellandur, Bangalore",Mango Tree Grand,Yes,No,3.8,112,bellandur,Quick Bites,"andhra, north indian",Delivery,Bellandur,700.0
"1562, Sector 1, HSR, Bangalore",Grigliato,Yes,No,3.9,715,hsr,Casual Dining,"italian, chinese, continental, steak",Delivery,Bellandur,1000.0
"712, 6th Cross, 5th Main, Off 80 Feet Road, Indiranagar, Bangalore",Crunch Pizzas - Express Delivery,Yes,No,3.0,237,indiranagar,Delivery,pizza,Delivery,Bellandur,500.0
"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore",Parrattha Ssinghh,Yes,No,4.2,45,marathahalli,Quick Bites,north indian,Delivery,Bellandur,250.0
"56, Near Passport Office, Outer Ring Road, Bellandur, Bangalore",Atithi Aramane Veg,Yes,No,3.9,48,bellandur,Quick Bites,"south indian, north indian, chinese",Delivery,Bellandur,300.0
"61, Green Glen Layout, Bellandur, Bangalore",Yummy Tummy,Yes,No,3.0,111,bellandur,Quick Bites,"rolls, north indian, chinese, biryani",Delivery,Bellandur,400.0
"2738, 27th Main, Sector 1, HSR, Bangalore",Beijing Bites,Yes,No,3.9,396,hsr,Casual Dining,"chinese, thai",Delivery,Bellandur,850.0
"15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore",AKSHAYA BIRYANI,Yes,No,3.6,20,sarjapur road,Quick Bites,"biryani, north indian",Delivery,Bellandur,300.0
"86, Krystal commercial complex, Kasavanahalli, Off Sarjapur Road, Sarjapur Road, Bangalore",Lungees Foods,Yes,No,3.7,160,sarjapur road,Casual Dining,kerala,Delivery,Bellandur,500.0
"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Reddy's Paradise,Yes,No,3.4,9,sarjapur road,Quick Bites,"fast food, chinese, north indian, biryani",Delivery,Bellandur,400.0
"4, 60/1, Doddakannelli, Opposite Wipro Corporate Office, Sarjapur Road, Bangalore",Tarbouche,Yes,No,3.5,18,sarjapur road,Kiosk,turkish,Delivery,Bellandur,300.0
"International Bay, Campus 8/A, RMZ Ecoworld, Bellandur, Bangalore",Bombay Brasserie,Yes,No,4.3,555,bellandur,Casual Dining,modern indian,Delivery,Bellandur,1800.0
"Shop 61, Green Glen Layout, Bellandur, Bangalore",Biriyani Adda,Yes,No,,0,bellandur,Quick Bites,"north indian, chinese, biryani, kebab",Delivery,Bellandur,350.0
